"thread_id","thread_date","author_id","thread_title","thread_body"
15506,"2025-06-18 15:43:16.689872+00",36291,"DoD Covered Borrowers Disclosure (Related To MLA and SCRA)","I'm currently researching how financial firms, creditors, and fintech companies handle required disclosures related to DoD Covered Borrowers, specifically concerning the Military Lending Act (MLA) and the Servicemembers Civil Relief Act (SCRA). I'd appreciate any insights you could share on your approach. Do you typically integrate these disclosures into your Terms of Service or include them in agreements that users sign as part of your process? Are there any other methods you utilize for providing these disclosures? Thank you. "
15507,"2025-06-18 16:10:30.518504+00",30767,"Atty. Referral - Judgment Collection (Scottsdale, AZ)","I'm reaching out for a contact of mine. I'm looking for an attorney in Scottsdale who specializes in judgment recoveries - Could just be an excellent litigator I imagine. "
15508,"2025-06-18 17:58:43.618616+00",35255,"RFP AI Tools","We are in the search for an RFP AI tool to help streamline our process. Does anyone have tools that do this well currently?    Also, what teams generally own the end-to-end RFP process and related tools? "
15509,"2025-06-18 18:29:53.359871+00",34517,"AI Metrics","Has anyone developed a metrics dashboard to support your AI strategy? Specifically, are you tracking the number of use cases within your department and evaluating their impact--whether through hard benefits like cost savings or soft benefits such as efficiency gains or career development opportunities? I'd really appreciate seeing examples or hearing how other organizations are approaching this. "
15510,"2025-06-18 20:52:22.493965+00",13289,"AI Notetakers","Hoping to hear some perspectives on how those companies that have accepted widespread or limited use of AI notetakers are balancing the efficiency of the tool with the potential risk related to the discoverable written record created by the tool. Are you adjusting document retention policies to adapt to this use case? Are you treating it as a matter of behavior and training? Are you not concerned by it? "
15511,"2025-06-18 21:18:04.67613+00",29553,"US Employee In Malaysia","We have a key employee moving to Malaysia for family reasons and are evaluating various options to continue her employment (digital nomad visa, etc.) or to hire her as a consultant. Anyone have any knowledge regarding employing a US employee moving to Malaysia, hiring a US citizen located in Malaysia, or hiring a former employee who moved to Malaysia as a consultant? Any recommendations for local counsel? Some other posts mentioned Trevor George de Silva at Eldan Law. However, he is no longer working at Eldan Law and I've been unable to track him down (yet). "
15512,"2025-06-18 23:18:33.50256+00",1739,"Outside Counsel Referral - Industrial Gas Procurement","We're looking for outside counsel referrals with deep experience negotiating procurement of industrial gases. Appreciate any leads, and thanks in advance! "
15513,"2025-06-19 13:15:53.249623+00",36122,"Routine Legal Tasks Moved To Legal Ops","I have been considering what daily and routine legal tasks could be moved from a lawyer to a legal operations position that would be supported by legal tech. Some things that come to mind are NDA management/review using preconfigured approved forms and AI, some e-discovery tasks, etc. I would love to hear from personal experience whether/how creation of a legal operations position at your companies has taken workload off of lawyers to free them up to perform more high-value work. "
15514,"2025-06-19 16:09:50.70535+00",24194,"Anyone Been Successful In Moving Away From Group Health Insurance Plans?","We're exploring a shift away from traditional group health insurance (with skyrocketing premiums) toward an ICHRA model -- where we'd provide a tax-free stipend and let employees choose the plan that fits their needs, supported by a concierge platform like Gravie, Take Command, or Thatch. If you've: Transitioned to ICHRA at your company   Used one of these vendors (or others)   Navigated employee communications or rollout   Seen real impact (positive or painful).   I'd love to hear your experience.   Trying to stay generous and modern without burning money. "
15515,"2025-06-19 19:36:41.724285+00",15104,"Dental Market Data Privacy In UK","Does anyone have experience working with dental practices as customers in the UK? I'm trying to understand what the commercial and market expectations are--specifically from these customers--regarding data residency or localization obligations for data processors. If you have insight or can point me to someone who does, I'd love to connect. "
15517,"2025-06-20 12:27:23.045121+00",34200,"Engagement Letters: Conflict Checks and Legal Privilege","We're currently reviewing our engagement letter process with external counsel and would appreciate your insights and experiences, especially regarding best practices for managing conflict checks and ensuring attorney-client privilege.   Specifically, we're looking for guidance on the following:   1. Engagement Letter Structure - Our company does not provide a standard engagement letter template, and we rely on law firms to submit their own engagement letters. Do you ask for a master engagement letter with separate engagement confirmations per matter (detailing scope and parties involved), or a broader engagement letter that includes a clause allowing the firm to act on any future matters? In your experience, can detailed emails confirming scope and parties serve as effective engagement confirmations for individual matters?   2. Group Company Engagements - Do you typically have engagement letters signed by the holding company, or do you prefer having separate engagement letters for each group company involved in a specific matter? We're particularly interested in how this impacts conflict checks and maintaining privilege across entities.   Any real-world examples, policy tips, or pitfalls to avoid would be greatly appreciated!   Thanks in advance for your help. "
15519,"2025-06-20 15:58:16.903286+00",2343,"Contract Termination Agreement","Does anyone have a short contract termination agreement? We're terminating two agreements that don't have termination clauses. I want to get a waiver for giving back payments. "
15520,"2025-06-20 16:35:55.317323+00",698,"San Francisco Area Workers' Comp Attorney Referral","A friend's brother in law had an accident at work in SF that is leaving him with some massive medical bills and I wanted to see if anyone could recommend a local worker's comp lawyer? "
15521,"2025-06-20 18:23:38.580973+00",8837,"Installment Billing - Implementation Through The Channel","Does anyone have experience with standing up an installment billing program for SaaS in a two-tier channel model?  It would be great to understand how you implemented this if so (whether updating framework contracts or order documents or both) and how you dealt with the risk of (i) non payment at customer level and (ii) reseller / disti making different payment arrangements with their customer than you agreed with them. Would you be willing to get on a call with a member of my team to talk through what's worked and what to watch out for? "
15522,"2025-06-20 19:47:08.61238+00",12848,"HIPAA/Privacy Counsel for Health Tech/SaaS","Looking to expand our bench of outside counsel and need recommendations for privacy counsel with deep HIPAA expertise, particularly around business associate obligations and compliance for health tech/SaaS vendor. Bonus points if they know the ACO space, but that isn't my primary focus/need right now. What we're looking for:   * Boutique firm or solo/small practice (not BigLaw)   * Strong HIPAA/healthcare privacy background, especially BA requirements   * Reasonable rates   * Responsive and practical approach   I've searched through older posts but haven't seen recent recommendations in this space. Would appreciate any names you'd be willing to share, either here or via DM. "
15525,"2025-06-20 23:16:28.497544+00",34323,"AI Based SOP Generator","Does anyone have experience with a purchased or created AI tool that can easily create SOPs by following your screen flow, including screenshots and summaries of your clicks? I understand that Scribe and Whale are 2 such tools. "
15526,"2025-06-22 02:34:31.542909+00",1596,"Assumption of Risk - Unrecommended Use","Have you had a client use your technology (hardware or software) in a way that is not recommended for safety reasons? If so, how did you deal with it? It's not a licensing question per say, but rather what about risks they create with third parties? Our agreements already allocate risk to the customer for use in violation of our user manuals, but trying to figure out if that is enough should something go wrong and a third party makes a claim. Not to mention reputational issues. Would love any insights from the braintrust! "
15527,"2025-06-22 20:56:22.93267+00",36477,"Malpractice/Employed Lawyer Insurance for In-house Counsel","Does your company have malpractice insurance for its in-house legal team? Why or why not?    If you are in a state like California that requires employers to indemnify its employees, is that enough? (My questions are focused on non-officer employees who would not have protection under a D&O policy.) "
15528,"2025-06-22 22:12:14.327935+00",36477,"California Pro Bono Lawyer for Corporate Matters","Can someone refer me to a California lawyer who represents pro bono clients on corporate matters? "
15529,"2025-06-23 03:29:58.557521+00",5373,"British Columbia Contract Attorney","Looking for an attorney who can do just routine contract work. "
15532,"2025-06-23 16:59:31.997271+00",29864,"Management Profit Sharing Waterfall For PE Backed Company","My company is PE backed. My management team and I are negotiating a new B shares exec comp package as part of a minority investment raise. For folks with a similar B share structure, does this look like a reasonable ask for profit sharing for the management team? MOIC <1.75 = 0% share.     1.75-1.95 = 10% share.   1.95-2.25 = 20% share.   2.25 - 3 = 30% share.   3+ = 40% share. "
15533,"2025-06-23 18:50:34.583175+00",35678,"Handling Strict State Requirements For Biz Registrations/Filings Re: Company Address","Hi all - this is a specific request, but wanted to poll the hive in case any other fully remote companies are running into this issue. It appears that Oregon is cracking down on use of a PO Box or PMB as a business address for state filings. (Our HQ address is a PO Box.) We have a mail courier service that provides us with a secondary address (physical location) we can use, which has historically worked well. However, Oregon is not accepting that either, claiming we need a physical address where our business operates. We are a fully remote company and are struggling to come up with a workable solution here. What have other remote companies done to oblige strict requirements like this? Thanks in advance for any insights! "
15534,"2025-06-23 19:15:24.69089+00",36804,"SAFE Accounting Treatment - Debt vs. Equity","Hey, Our auditors are currently treating our SAFEs as debt. I'm curious how your SAFEs are being treated. Has anyone successfully classified their SAFEs as equity rather than debt on your balance sheet? If so, what approach or documentation helped support this treatment, and what type of auditor did the analysis (Big 4, etc.)? Thank you! "
15535,"2025-06-23 19:17:41.703765+00",16707,"GRC Function","Hi! The GRC function is now reporting to me, and I was wondering if anyone had any best practices to share, especially in terms of delineating scope between GRC and Security/IT. Looks like there are some past posts that are around security policies (and those have been archived), but I'd be curious for thoughts on a functional review of the role. Thank you! "
15537,"2025-06-23 20:52:44.290539+00",2675,"Cursor As AI Tool For Enhanced Efficiency In Coding","Has anyone had any experience using or evaluating an AI tool called ""Cursor""? It helps create code and content and has access to our codebase (though allows for enhanced privacy at the enterprise level and will not train on data). "
15539,"2025-06-23 22:43:49.985169+00",37277,"Corporate Governance Policy","Hi. I'm drafting the Corporate Governance Policy for our Series B fintech startup. Does anyone have a good example or template they can share? Thank you! "
15540,"2025-06-23 23:38:13.063577+00",2915,"Looking For A Tax/Real Estate Attorney In SF Bay Area, CA","In search of an attorney (small firm or solo) who can advise on residential real estate transfer to a trust, and accompanying tax issues. The property is in the San Francisco Bay Area if that makes a difference. It may be a simple matter, but outside of my wheelhouse, so cost-effective recommendations would be great. Thanks in advance. "
15542,"2025-06-24 09:42:50.106042+00",24321,"Panama Advisor","Hi everyone! I'm looking for a reliable advisor in Panama who can answer some practical questions about entering into a deal with a Panama Foundation. Any recommendations? Thank you! "
15543,"2025-06-24 11:36:36.587597+00",3421,"Global Equity Experts","Hi All - I am looking for an expert(s) in global equity structuring. I have been using Latham but have been disappointed at the time it takes them to respond as well as a lack of advance issue spotting that has already led to surprises so I am looking for a new expert with whom I can work. Please send any recommendations. "
15544,"2025-06-24 13:19:05.226644+00",21732,"RFP For International Law Firm","Hi everyone, we are currently reevaluating our outside counsel. Does anyone have any advice on or template for extending an RFP to various firms? Thanks! "
15548,"2025-06-24 16:48:30.919163+00",37522,"Harvey.Ai","Has anyone used Harvey Ai? What is your experience generally or specifically with its abilities to report on a larger number of contracts? We are using LinkSquares as our CLM but their AI capabilities are lacking. Thinking of layering on Harvey. Please include if you are in a Law Firm or Tech. I heard Harvey might be better suited for law firms. "
15549,"2025-06-24 18:10:01.963462+00",1187,"Fund Formation Counsel - Emerging Managers","A friend of firm is launching their first ~$30M VC vehicle and is looking for counsel recs. Does anyone have a sense of cost for a fund of that size/any recommendations for reasonable fund counsel? "
15552,"2025-06-24 18:54:34.304562+00",6073,"Partner Buy-In - Architecture Firm (Minnesota)","Looking for an attorney referral for a friend, that can help with partner buy-in to an architecture firm in Minnesota. Does anyone have a referral for someone familiar with the space? "
15556,"2025-06-24 22:34:08.147537+00",3701,"New York/New Jersey Tax Payroll Tax Expert","Looking for someone who specializes in NY/NJ to advise us on payroll tax withholding. As we are switching from fully remote to hybrid, we would like some additional opinions on if taxes should be based fully on place of work (splitting remote + hybrid days for those living in different states) or based on stated of residence. We've received conflicting information. Thank you! "
15559,"2025-06-25 15:40:31.053832+00",30306,"AI Policy","I am looking for a straightforward AI policy. If anyone has one that are willing to share, please send through. "
15562,"2025-06-25 18:37:54.899263+00",19078,"Anyone Have Any Experience With Using ""Aosphere""","In evaluating data privacy laws and whether or not they are applicable to your business, has anyone used Aosphere? I just saw a demo and have a limited POC running right now. Looking for any insights, benefits, shortcomings, etc. "
15564,"2025-06-25 18:54:54.524488+00",5311,"Corporate Counsel - Vietnam","Does anyone have an updated recommendation for good external corporate counsel in Vietnam? I see a few recommendations but they appear to be outdated. "
15565,"2025-06-25 19:10:57.897636+00",9937,"KYB Questionnaire","Hi, we are looking to run KYB on a potential customer who is based in India. We have already reached out to Hubspot and the cost for 1 customer is too high. "
15572,"2025-06-25 22:34:56.207463+00",30580,"CLM Metadata Migration Tips / Support Vendors?","We're looking to change over our repository from Evisort to another CLM - Ironclad or SpotDraft - very soon. That said, we've got a lot of legacy agreements both in Salesforce/Evisort, and just in Salesforce, that need to be migrated into the new repository. The document migration itself isn't the part I'm concerned about, it's getting metadata / contract tags on all of the legacy imports to get us started off on the right foot / be able to use the repository properly. (Until AI truly knocks it out of the park, go-forward, part of our contract manager's role will be to 'close out' an executed contract by checking the tags / metadata for accuracy.) Frankly, I don't trust a lot of the metadata that's in Evisort right now - been lots of misses and incorrect tags (a lot came to light when doing an SFDC integration earlier this year and trying to pull things like emails for customer subprocessor notifications).  2 questions -  1\. Has anyone used a provider / partner to help with this kind of migration & legacy tagging exercise? Wondering if this is something a LawTrades or Axiom person would be good for (or too operational)? *Particularly for Ironclad, since that isn't a service they seem to offer. (Looking for short-term help on a one-time project, so want to go the vendor/contractor route instead of interns or other type hires.)  2\. Does anyone have experience with SpotDraft's supported migration / QC'ing that they offer as part of the implementation? Was it done well / timely?  "
15573,"2025-06-26 08:50:43.674149+00",18596,"UK Pension Plan Contributions","We are working with a broker to update our UK pension plans and healthcare as we are not competitive anymore.  I would like to understand what is market in terms of employer and employee contributions into the pension plan. What does everyone else currently offer? "
15574,"2025-06-26 10:47:19.426424+00",35418,"Tax Specialist - Hong Kong","We are looking for a tax specialist in Hong Kong in the context of the incorporation of subsidiary in Hong Kong (cost center only). Do you have any recommendations? "
15576,"2025-06-26 14:03:52.777604+00",975,"NYC Commercial Real Estate Broker","We're in the market for a new office. If you have a commercial real estate broker that you like, please let me know. Or if you have great office space that you're looking to sublet, let me know that also. Looking for space for roughly 200 people. "
15580,"2025-06-26 15:26:14.825797+00",32761,"Referral Request - VC/Investment/Nonprofit Lawyer Needed","Looking for referrals for a friend who runs a grants program and needs legal counsel. They're seeking a VC/investment/nonprofit lawyer who can:   * Answer questions about grant structure and compliance   * Potentially draft documents for these grants, which may convert to equity if the grantee becomes a startup    * Advise whether a convertible grant approach is viable or if there are better alternatives   If you know someone who'd be a good fit for this type of work, please drop their info below or DM me. Thanks! "
15581,"2025-06-26 15:28:07.276363+00",5373,"Bank Account in Romania","We are encountering an issue with AML / KYC process in our bank in Romania. The bank is asking for an excerpt from a government registrar that shows shareholders or beneficial owners of the company. As a Delaware company, I am not aware of a way to get such a government document. I've tried company-issued secretary letter / certificate - it has not been accepted. Has anyone seen this issue before? Or can you recommend a bank in Romania with which you have not had such issues? "
15582,"2025-06-26 15:50:58.801254+00",23160,"Guidance For US Travel","We've been advised by some people managers that their employees are asking for specific guidance for navigating any potential issues and questions that may come up when they are traveling to the US for business. We want to address employee concerns but of course cannot serve as immigration counsel for individual employees so trying to walk a fine line. Has anyone developed a policy or talking points on this issue that they could share? "
15583,"2025-06-26 16:18:12.430127+00",7058,"Accounting Controls Policy","Seeking sample policies on accounting controls (regarding who can take which actions, etc.), ideally for later-stage private company, auditor-vetted and simple. Thanks! "
15584,"2025-06-26 18:09:40.663917+00",35756,"Anyone Using Flank AI for Security Questionnaires? Seeking User Insights","Is anyone here currently using Flank AI for completing security questionnaires? I'm looking for feedback--what's working, what's not, and any lessons learned (implementation, adoption, ROI, etc.). If you've evaluated or rolled out Flank AI: -What use cases are you solving?   -How was the onboarding and integration process?   -Any surprises, challenges, or tips?   -Would you recommend it to other legal ops teams? Feel free to DM me if you prefer to share privately. Thanks in advance for any insights! "
15586,"2025-06-26 19:27:59.566765+00",34210,"Data Mapping Template","Does anyone have a template they could share? "
15587,"2025-06-26 21:04:43.312912+00",14334,"AWS Marketplace KYC Requirements for Transactions from South Korea","AWS Marketplace requires sellers to go through its KYC verification process for sellers to ""get paid for Republic of Korea transactions."" We're trying to understand if KYC is a requirement due to how AWS Marketplace is structured, or if this is a requirement to get paid by customers in South Korea generally and might apply outside of AWS Marketplace too. Thanks in advance! "
15588,"2025-06-26 21:49:24.212184+00",36323,"CLM to AI Workflows for Contracts","Is anyone thinking about using AI workflows (example is Harvey's new workflows product) in place of CLM? It seems like the capabilities are converging -- custom workflows, review/drafting, vault, knowledge (for self-serve contracts questions). My non-expert perspective is that true AI agentic workflow for contracts management haven't been proven out yet. Still, I'm curious if others are preparing for a shift from today's rule-based workflows (like the leading CLMs) to AI first processes. "
15590,"2025-06-26 22:30:03.629828+00",6468,"Recommendations for Cyber Risk Insurance Providers","We're in the process of benchmarking our current cyber risk insurance coverage in California and looking to get comparative quotes. I'd love to hear from those of you who have had positive experiences with Cyber Insurance companies, especially ones who provide good customer service and are reasonable on pricing and coverage terms. If you've worked with any companies you'd recommend (or would avoid), I'd appreciate any insight you're willing to share! "
15591,"2025-06-26 22:52:15.108056+00",8632,"Cursor Terms of Service","I was wondering if anyone else has gotten hung up on the fact that Cursor's Terms of Service don't include a confidentiality obligation. I've noticed a clear distinction on other AI tools between the plans that include confidentiality obligations and those that don't, regardless of whether they may include language around not training on your data, etc. For example, ChatGPT Pro does not include confidentiality yet ChatGPT Enterprise Pro does. Same for Perplexity.   Cursor's new terms say they will use Content to provide the Service, comply with applicable law, enforce terms and policies, and keep the Service safe.  But there is no ""only"". They also say they won't train with the Content unless explicitly agreed. This does not feel like sufficient protection for source code. Am I missing something? Are there enterprise terms I haven't found? "
15592,"2025-06-27 00:12:14.891376+00",3088,"(Pro Bono) Immigration Counsel Recommendation Needed","Was hoping to get some help from the group. I have someone I know who just received a denial of their Visa application after it was pending for 14 years. The person is obviously beside themself and I was hoping to see how I can help this person with options, advice, next steps etc. Anyone have a good pro bono immigration counsel / non-profit org recommendation and if necessary a good, efficient for-profit immigration counsel. Looking for someone ideally who also speaks Spanish and is located either in the SF / Bay Area or can help someone who resides in the SF / Bay Area (Peninsula). Thanks for any suggestions / recommendations. "
15593,"2025-06-27 02:00:47.605743+00",2406,"Use of Telemetry","Question for those who use telemetry and dashboards for information not necessary for the security or for enforcing the licensing terms. How have you been able to collect this information (for customer's benefit) in light of the application of the EU Cookie regulations to telemetry which may require the customer to ask for the information first? "
15594,"2025-06-27 12:44:01.27836+00",7327,"Prize Supplier Agreement (US and international)","One party provides a prize for a promotional contest or sweepstakes, and the other runs it and shares contestant info. Interested in US and Europe (GDPR) privacy clauses. "
15596,"2025-06-27 14:44:52.641431+00",36095,"Finance Committee Charter","I'm looking specifically for examples of private companies with review constraints within finance committee charters. More specifically, delineations of retroactive review authorities vs approval requirements. Example would be quarterly review of any commercial agreement below $250k, as opposed to requisite committee approval of any commercial agreement above $250k. Similar interests for Capex and liability thresholds. Thanks! "
15597,"2025-06-27 15:03:42.173874+00",2228,"No Code/Low Code Agent/Chatbot for Legal?","Greetings - I've been challenged by our CBO to find a solution to create a no code, low code agent/chat bot to respond to certain questions from the business team. My current thinking is to start with a proof a concept -- an agent that can respond to marketing questions from the business team. Two questions:    1. Does the brainstrust have suggestions for ways to create a no code, low code agent?   2. Has anyone in the braintrust already implemented an agent or proof of concept agent and be willing to chat live to discuss experience?   "
15598,"2025-06-27 15:11:55.664339+00",34323,"Invoice Review Services","Any suggestions for Invoice Review Services that you have used with successful ROI in reviewing global law firm invoices? Exploring possibilities for a business partner in Europe. "
15599,"2025-06-27 16:02:38.978439+00",4874,"Private Company Ethics Committee Charter And Set Up","We want to set up an internal Ethics Committee for oversight of whistleblower reports, ethics issues, etc. Can anyone share committee charter/templates? Thanks. "
15600,"2025-06-27 16:49:50.998789+00",35091,"AI-Generated Code And Restrictive Or Open Source License Checklist Or Process","Hi and Happy Friday! Would anyone happen to have a checklist, process, or other resource that is used to help assess whether AI-generated code is subject to restrictive or undesirable open source licenses? "
15601,"2025-06-27 16:50:33.211019+00",34548,"Return To Office Policy - Legal Departments","Our company is in the process of implementing a return to office policy, and I'm seeking to benchmark how other in-house Legal Departments have approached or responded to similar policies within their organizations. Specifically, if your company has implemented a return to office policy, I'd appreciate insights on: 1\. Whether your Legal Department returned in full, hybrid, or remained remote 2\. Does your Legal Department follow the guidance that was implemented company-wide, or is your Legal Department operating as an exception to the policy? If you're open to sharing, I'd be grateful to hear about your experience or point to any useful resources. Thank you in advance! "
15603,"2025-06-27 20:24:18.223198+00",1607,"Carricarte IP Licensing","Does anyone have any experience with this patent licensor or its affiliated entity, re.ACT RTE, Inc.? If you have received a letter or otherwise dealt with them in the past, I'd love to connect! "
15604,"2025-06-28 11:21:06.211501+00",33780,"Singapore Employment Counsel","Any recommendations for local employment counsel in Singapore? Preferably, we'd like a smaller firm that's based in Singapore.          "
15605,"2025-06-30 13:09:19.582+00",8842,"NYC-Based Healthcare Litigator","Hi Braintrust. Please share recommendations for a reasonably priced, aggressive NYC-based healthcare litigator to advise on a contract dispute. Thank you. "
15606,"2025-06-30 13:48:24.560216+00",9951,"Sana","Does any member have experience using Sana (within legal or just in the enterprise in general)? "
15606,"2025-06-30 13:48:24.560216+00",9951,"Sana","Does any member have experience using Sana (within legal or just in the enterprise in general)? "
15607,"2025-06-30 14:35:03.722743+00",37700,"Data Privacy Framework Or Local AWS?","We are looking to expand into the UK primarily, but also the EU. I'm thinking about cross-border data transfers. Specifically, I'm weighing whether we should get a EU-US Data Privacy Framework (DPF) certification with the UK extension, or should we setup local AWS servers in the UK and EU. Does anyone else have experience with this? What should I be considering in making a decision? Thank you in advance! "
15608,"2025-06-30 14:35:20.357889+00",6156,"Equity Structure for Employees","Looking for any high quality CLE's or other programs to learn more about structuring equity for employees/various comp structure options/public company equity grants, etc. Any insights would be appreciated. Thank you! "
15609,"2025-06-30 14:36:32.491312+00",10027,"Milwaukee-Based Employment Counsel (Plaintiff's Side)","Please share recommendations for a reasonably priced employment counsel in the Milwaukee area to negotiate an exit package for a sales exec in Milwaukee (counter-party is a tech company, so plaintiff's side counsel would be great). Thank you in advance. "
15610,"2025-06-30 15:24:27.962861+00",29925,"Handling Equity In-House","My company uses Carta and we have had outside counsel handling everything related to processing equity grants, terminations, board consents, etc through the Carta platform for us. I am looking to hire a paralegal to help me do this myself.  For anyone who has taken this over, any recommendations on what to look for in a paralegal to handle Carta other than a preference to having used Carta before? Would love to chat through any other considerations I should be thinking about. "
15612,"2025-06-30 17:28:23.311128+00",36121,"Email And Slack Retention Periods","Looking for guidance on appropriate retention periods for Slack and email. Thanks! "
15613,"2025-06-30 18:06:58.388769+00",6629,"Cap Table Management","Has anyone had any experience using Meji? "
15614,"2025-06-30 18:25:32.80325+00",37565,"CA and Federal Employment Leaves (FMLA, CFRA, PDL, PFL, etc.)","Does anyone have some slides or maybe a summary of how the various CA and Federal Leave laws work? I have this one to share from Hoge Fenton, but curious if anyone else has anything they would be able to share that they've put together in-house or from outside counsel? Thank you. "
15615,"2025-06-30 21:57:36.749115+00",35255,"Transcend.io","We are currently implementing Transcend.io for consent management and DSR Automation. It's a hairy project and I'd love to chat with someone who has implemented this at their company as I have a couple questions. Thank you! "
15616,"2025-06-30 22:08:14.455833+00",119,"Services/Med Device Company Exclusivity Agreement","Hi all, I'm looking for a recommendation for a sophisticated/experienced counsel to negotiate an exclusivity agreement between a medical device company and a service provider. The service provider will be the exclusive provider of the device in specified settings (and only offer that device). Any suggestions for counsel with expertise negotiating these types of agreements is appreciated. "
15617,"2025-06-30 22:53:48.992079+00",36804,"Venture Debt Counsel Recommendations","We're moving forward with a debt transaction and need to engage outside counsel, ideally a firm at the lower end of the cost spectrum. Can anyone recommend some cost-effective options? Thanks! "
15619,"2025-07-01 00:48:31.615736+00",34175,"Microsoft 365 CLM & Legal Hold","Hi. Has anyone used/recently seen a demo of Microsoft's CLM or Legal Hold tools? I'd love to hear any insights you may have on their capabilities. Let me know if you prefer to discuss live. "
15620,"2025-07-01 01:31:55.516309+00",24194,"Whisteblower Counsel","Hi, A former colleague is looking for counsel to connect with re: a potential whisteblower action. I have asked not to be informed of any of the facts regarding the situation, but do know it is related to an employer. "
15621,"2025-07-01 13:22:45.163862+00",5440,"VC Fund Formation Expenses","What are folks seeing as a proper legal budget to build a VC investment fund? We recently paid $120k using a Big Law firm. While the legal work was good, as we look to the next fund I am trying to assess whether $120k is reasonable. Seems high to me and but for the most complex, big ticket matters I think paying Big Law rates makes little sense. "
15622,"2025-07-01 16:13:58.184038+00",827,"Q For Oil & Gas Lawyers in Alberta (Canada)?","Hello, I have a friend visiting Alberta next week to scout oil/gas sites for stranded energy assets. He is working with a consultant/advisor called Twelvesix (headed by Blake Fikowski) 1) I'd love to speak to anyone with familiarity with Twelvesix and/or Mr. Fikowski.   2) More generally, would like intros to oil & gas firms in Alberta. I'd appreciate any knowledgeable reponses. "
15623,"2025-07-01 16:19:17.905504+00",5868,"Becoming A Marketplace Facilitator","I would be grateful if anyone has any insights or experiences into launching a B2C marketplace as a marketplace facilitator, both in the US and international. E.g., would like to get an idea of realistic timing, advisors, issues, documentation. It seems like a big project but I would welcome hearing I am overthinking it. "
15624,"2025-07-01 16:31:54.322831+00",1935,"Has Anyone Worked Through ""Reconstituting"" The Founders Of A Startup?","Scenario is a company founded by a single founder who hired a core team of 4 to develop a product and then departed the company soon after - before the product got any traction. That core team of 4 then led a complete pivot - they built a different product, sold via a different channel to a different customer. This is a significant new financial product - you could say this team invented it - and its looking good.  Board would like to recognize (and have the market and the team recognize) this core team of 4 as founders. And they're willing to invest some energy and reasonable expense to get that done. Just naming them founders wouldn't feel right to them since they didn't technically start the business and they respect the guy who did. After the founder left, we considered simply forming a new company actually founded by the core team of 4, but QSBS considerations prevailed and we did a recap instead.  Has anyone worked through ""reconstituting"" the founders of a startup? A negotiated arrangement with the actual founder may be possible, but particularly interested in any alternatives you've seen. We only see the benefits of this move if it truly feels legitimate to the team and anyone familiar with the company. This is all about the optics - we have a handle on the economics. Look forward to your ideas. "
15626,"2025-07-01 17:55:13.943328+00",30500,"Slack - External Connections","Hey, Like many orgs, we leverage Slack extensively. Our employees occasionally request external Slack connections, which can include file sharing and bots. To manage the associated risks, we're looking to implement a formal review process. Does anyone have a risk assessment checklist or policy for this that they could share? "
15627,"2025-07-01 20:25:25.653289+00",5956,"Tuition Reimbursement Policy","We are looking for a tuition reimbursement policy and any related forms (e.g. request forms/acknowledgements) that anyone would be willing to share. "
15628,"2025-07-01 20:36:09.974537+00",1661,"Law Firm in Mexico","Hi there. Can anyone recommend a law firm in Mexico who would be able to translate our Services Agreement into Spanish? "
15629,"2025-07-01 22:08:12.379263+00",30716,"UK Payroll/Benefits Vendor","We are hiring our first employee in the UK and need assistance setting up payroll, taxes, benefits, etc. Does anyone have any recommendations for a vendor or other resource that could help us get set up? Thank you in advance!  "
15633,"2025-07-02 13:56:35.738876+00",350,"Family Law Recommendation - Fresno, CA","I am looking for a reasonably priced family lawyer located in (or around) Fresno, California for a colleague. Thanks in advance for any tips! "
15634,"2025-07-02 14:44:24.224688+00",33133,"Turks & Caicos referral","We are looking for outside counsel in Turks & Caicos and would appreciate any referrals. "
15635,"2025-07-02 15:39:05.514845+00",827,"Criminal attorney in Los Cabos (Mexico)?","I'm looking for referrals for a reputable and well connected criminal attorney in Los Cabos MEX. It involves the investigation of a suspicious death there this morning. Thanks for any suggestions. "
15636,"2025-07-02 15:40:00.516598+00",37652,"Event-Based Obligations","Hi Everyone! We find it fairly easy to track date-based obligations in contracts, and have had success both with our prior CLM and by doing it manually in a calendar with reminders. The issue we are coming up against is how to track event-based obligations. We have a list we track at the moment, but does anyone have any recommendations? When we ask during CLM demos this seems to be a gap there as well. Thanks! "
15637,"2025-07-02 15:47:36.661372+00",26175,"Devs Using AI for Net-New Code","Has anyone dealt with a situation in which their Dev team wants to move full steam ahead with using AI to help generate net-new code? Particularly, how did you frame the risks to leadership in order to ensure that they appreciated the potential impact on the business. Then, in the event that they agreed to take on the risk, what were strategies you employed for mitigating that risk as much as possible? "
15638,"2025-07-02 15:58:46.508402+00",25161,"Scout Marketing, LLC (Scoutyourcase.com)","If anyone has intel on this company (who claims to specialize in helping plaintiff's law firms find cases), I'd love to hear from you. Thanks. ScoutYourCase. "
15640,"2025-07-02 16:55:10.146592+00",23111,"Contracting With An Entity Based In Honduras","Hey there - one of our young AEs has brought in a prospect who is based in Honduras. At this point we are just at the MNDA stage - but it is a brave new world for here. Has anyone here ever been in contract with an entity in Honduras. Any words of wisdom? Thanks in advance. "
